Epoch,Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
380,333.6907706442117,327.707505257134,326.3222706584131,372.4431956415318,12755
385,327.48988818234153,325.8552174648119,327.53140019303623,372.4431956415318,12924
390,321.80440558614225,325.7022743401043,326.6001922651588,372.4431956415318,13089
395,339.6969586258165,323.81289999539047,324.90486771055083,372.4431956415318,13261
400,296.1971919204537,324.1141271684506,324.6420780645917,372.4431956415318,13432
405,303.62050254519676,318.88884795267904,325.0628825427767,372.4431956415318,13600
410,312.26905233258987,322.8846084798785,326.0179826168553,372.4431956415318,13772
415,333.37944178595313,323.9968907471551,324.76593056818234,372.4431956415318,13935
420,353.79902408374824,323.4228701122339,324.76627707156024,372.4431956415318,14105
425,321.67043247979734,327.01518734718144,323.91380870144354,372.4431956415318,14276
430,356.59876925231083,332.49689835597405,325.72415569132824,372.4431956415318,14453
435,313.0804329890501,329.53192486031924,324.64915018054506,372.4431956415318,14620
440,318.22173413264824,322.3304451794847,325.04978985920434,372.4431956415318,14793
445,331.65644218911865,329.3348384454261,325.7535378705521,372.4431956415318,14965
450,306.1740277982255,324.62393500398053,325.15175142631034,372.4431956415318,15134
455,303.1981117658463,323.7109187429028,326.717952028597,372.4431956415318,15300
460,330.3927509407955,330.6475729717853,326.7043443246917,372.4431956415318,15471
465,341.99898464025415,323.69872595788087,326.6583190707421,372.4431956415318,15639
470,288.0539975357237,320.2406676315608,326.0679038285571,372.4431956415318,15811
475,341.7153775242468,319.12882918439954,325.0810474381857,372.4431956415318,15978
480,329.5484389804333,310.6422285358743,321.69696986453715,372.4431956415318,16141
485,345.6722034167291,310.25067601024705,321.2247976681713,372.4431956415318,16307
490,291.2241951354744,313.84320586934166,319.9995220025085,372.4431956415318,16471
495,318.1552158798544,321.9212115707062,319.7420722932273,372.4431956415318,16643
500,317.0434293520555,330.8906498426095,321.2528649702343,372.4431956415318,16808
505,312.508132375351,322.90074230661105,319.5800370059689,372.4431956415318,16974
510,353.17847280894347,315.1098513460869,318.14532064509467,372.4431956415318,17141
515,310.0242382720978,314.6372187798993,317.7677355703726,372.4431956415318,17307
520,285.8875426722856,312.8112766944004,316.6594424576626,372.4431956415318,17473
525,299.16682329027105,310.0006841637986,315.94210656625245,372.4431956415318,17642
530,283.6448723993135,315.623583363482,317.65571342318407,372.4431956415318,17814
535,326.605381711213,325.6210783952007,319.0161870432432,372.4431956415318,17985
540,295.5905515910266,317.57749902232695,318.40257205378117,372.4431956415318,18150
545,324.43527555057216,309.8622990245891,316.60440453401975,372.4431956415318,18324
550,324.1053987660399,316.5330849963708,315.53105908453347,372.4431956415318,18493
555,297.535269458018,313.1915242957168,314.6625609318409,372.4431956415318,18659
560,333.5573940076831,311.8981771476181,314.88872424483964,372.4431956415318,18821
565,339.3993263633314,316.3549609978635,315.0061093754337,372.4431956415318,18982
570,342.19922271198493,316.8676469017552,315.6999982863106,372.4431956415318,19146
575,344.35598614267514,330.22552094429284,319.0510767315326,372.4431956415318,19320
580,324.8715953678274,326.5521079914752,317.8857032119093,372.4431956415318,19489
585,329.9139904024085,311.7638821106394,316.27963747462036,372.4431956415318,19654
590,298.52235155347296,314.2663850042076,317.2234804082854,372.4431956415318,19821
595,338.99895034724375,317.47417281039185,317.80201223178085,372.4431956415318,19990
600,350.92665198218236,325.29939228046374,318.97674186510403,372.4431956415318,20162
605,336.39937052138174,327.748395810532,320.7133865347439,372.4431956415318,20331
610,311.87839663173446,317.2685966447531,320.050825764531,372.4431956415318,20500
615,273.19373859894074,310.02767765348574,319.44792986586833,372.4431956415318,20671
620,309.24312713702705,313.18473745525483,319.31424387523094,372.4431956415318,20838
625,335.94010621093,325.3114562251109,318.46511692203194,372.4431956415318,21008
630,327.27766344665054,330.45536098512633,320.0948944739611,372.4431956415318,21173
635,338.92296253370347,330.0658019901249,322.12550089792904,372.4431956415318,21343
640,292.4162649046862,319.4871105221248,321.13903957754457,372.4431956415318,21508
645,339.39941266804516,307.78456981832187,320.18758029951505,372.4431956415318,21669
