epoch,episode,step,reward,timestamp,uav_movement,denoising_steps,uav_movement_magnitude,state_mean,state_std,state_min,state_max,energy_total,energy_transmission,energy_processing,energy_efficiency_per_ue,latency_total_avg,latency_upload_avg,latency_processing_avg,latency_download_avg,latency_deadline_violations,qos_quality_score_avg,qos_denoising_efficiency,qos_quality_requirements_met,qos_quality_violations,completion_rate,genai_completion_rate,dnn_completion_rate,total_genai_ues,total_dnn_ues,current_processing_ue,current_processing_type
0,3,0,14.0,2025-08-06T14:46:26.434854,"[0.455060750246048, -0.26578623056411743, 0.9999999403953552]","[25, 22, 25]",1.1303638,0.058646683,0.22328264,-1.0,0.47368422,0.5348774513419363,0.5348774513419363,0.0,0.17829248378064544,0.0,0.10000000000000002,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,0,0,processing
0,3,1,28.999969883036297,2025-08-06T14:46:26.438470,"[0.9999999403953552, -0.9999999403953552, -0.9999999403953552]","[16, 12, 25]",1.7320507,0.19991915,0.34566045,-0.1733551,1.0,16.53308064214848,0.5330806421484813,16.0,5.51102688071616,1.7500000000000002,0.10000000000000002,1.6,0.05,0,18.0,0.9112016622584768,0,1,0.3333333333333333,0.3333333333333333,0.0,3,0,-1,upload
0,3,2,28.99996799821572,2025-08-06T14:46:26.442012,"[-0.9920313954353333, 0.9999999403953552, -0.9999999403953552]","[18, 25, 14]",1.7274623,0.20553799,0.4010854,-1.0,1.0,18.5333414358337,0.5333414358337014,18.0,6.177780478611234,1.9500000000000002,0.10000000000000002,1.8,0.05,0,15.0,1.0,1,0,0.3333333333333333,0.3333333333333333,0.0,3,0,1,processing
0,3,3,43.99993237403458,2025-08-06T14:46:26.445675,"[0.9999999403953552, -0.9999999403953552, -0.7760466933250427]","[25, 21, 16]",1.6131486,0.23287322,0.3586745,-0.1733551,1.0,40.531715614300246,0.5317156143002456,40.0,13.510571871433415,2.15,0.10000000000000002,2.0,0.05,0,15.0,1.0,2,0,0.6666666666666666,0.6666666666666666,0.0,3,0,-1,upload
0,3,4,18.315896945375755,2025-08-06T14:46:26.449286,"[-0.8201457858085632, -0.9999999403953552, 0.9999999403953552]","[2, 20, 25]",1.6348207,0.2529917,0.43700385,-1.0,1.0,22.532855795126345,0.5328557951263434,22.0,7.510951931708782,1.25,0.10000000000000002,1.1,0.05,0,30.5,0.6782785860940498,1,1,0.6666666666666666,0.6666666666666666,0.0,3,0,2,processing
0,3,5,43.99993800822151,2025-08-06T14:46:26.452877,"[-0.9999999403953552, 0.4141489565372467, 0.7634429335594177]","[16, 18, 11]",1.3245242,0.2672823,0.39376444,-0.1733551,1.0,34.53431953115171,0.5343195311517112,34.0,11.511439843717236,1.85,0.10000000000000002,1.7000000000000002,0.05,0,16.5,0.9556008311292383,1,1,0.6666666666666666,0.6666666666666666,0.0,3,0,2,processing
0,3,6,53.757051923890224,2025-08-06T14:46:26.456573,"[-0.9930664896965027, -0.7013124227523804, 0.9490822553634644]","[24, 25, 7]",1.5423285,0.2788033,0.37964192,-0.1733551,1.0,47.5356355828438,0.5356355828438026,47.0,15.845211860947934,1.7166666666666668,0.10000000000000002,1.5666666666666667,0.05000000000000001,0,22.0,0.9431045981642763,2,1,1.0,1.0,0.0,3,0,-1,idle
0,4,0,14.0,2025-08-06T14:46:26.460297,"[0.06372559815645218, -0.719256579875946, -0.9038395285606384]","[25, 25, 23]",1.1568565,0.028422464,0.24258721,-1.0,0.47368422,0.6500561082984255,0.6500561082984255,0.0,0.2166853694328085,0.0,0.10000000000000002,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,0,0,processing
0,4,1,28.999966827572866,2025-08-06T14:46:26.463892,"[0.9999999403953552, -0.3877449333667755, 0.9312449097633362]","[19, 17, 25]",1.4204094,0.16586527,0.37185374,-0.40844357,1.0,19.650858100355872,0.6508581003558722,19.0,6.5502860334519575,2.05,0.10000000000000002,1.9000000000000001,0.05,0,15.0,1.0,1,0,0.3333333333333333,0.3333333333333333,0.0,3,0,-1,upload
0,4,2,28.999966749160137,2025-08-06T14:46:26.467437,"[0.7832067608833313, 0.6403101682662964, 0.9149379134178162]","[19, 7, 25]",1.3640093,0.18782446,0.43419465,-1.0,1.0,19.651840987859753,0.6518409878597522,19.0,6.550613662619917,2.05,0.10000000000000002,1.9000000000000001,0.05,0,15.0,1.0,1,0,0.3333333333333333,0.3333333333333333,0.0,3,0,1,processing
0,4,3,26.157985160272215,2025-08-06T14:46:26.471089,"[-0.5926771759986877, -0.3376498520374298, 0.9999999403953552]","[2, 25, 25]",1.2104849,0.20545116,0.3772575,-0.40844357,1.0,22.652208730258483,0.6522087302584827,22.0,7.550736243419494,1.25,0.10000000000000002,1.1,0.05,0,30.5,0.7473610095791678,1,1,0.6666666666666666,0.6666666666666666,0.0,3,0,-1,upload
0,4,4,43.999931054081856,2025-08-06T14:46:26.474710,"[0.6221776604652405, -0.9999999403953552, 0.4191285967826843]","[25, 25, 25]",1.2501094,0.20747066,0.4521794,-1.0,1.0,40.65241937672272,0.6524193767227221,40.0,13.550806458907573,2.15,0.10000000000000002,2.0,0.05,0,15.0,1.0,2,0,0.6666666666666666,0.6666666666666666,0.0,3,0,2,processing
0,4,5,53.34515868245272,2025-08-06T14:46:26.478429,"[-0.9999999403953552, 0.7628147006034851, 0.9999999403953552]","[16, 25, 7]",1.6068249,0.25881746,0.43355027,-0.40844357,1.0,43.65293813125808,0.6529381312580825,43.0,14.550979377086028,1.5833333333333333,0.10000000000000002,1.4333333333333333,0.05000000000000001,0,23.0,0.9439114153217009,2,1,1.0,1.0,0.0,3,0,-1,idle
